Ticker,Date,Price,sell_price,sell_date,closest_above,Earnings Offset Closest,average_duration,total_days_below_threshold,63d %,daily delta,Pwin,date_number_buy,date_number_sell
ATRC,2022-01-19,63.63,68.5,2022-02-09,-48,-19.0,7.0,77.0,-0.269795731007574,-0.0093414292386735,86.1386,2027,2042.0
BX,2022-01-19,112.26,119.04,2022-01-27,-32,-6.0,12.0,63.0,-0.2459699086512626,-0.014571629213483,84.0909,2027,2033.0
TROW,2022-01-19,167.79,,,-40,-6.0,14.0,56.0,-0.2417642008224502,-0.0173928320449754,82.6087,2027,
EPAM,2022-01-19,493.98,,,-10,-21.0,8.0,26.0,-0.3115165368158441,-0.0236584642751259,92.0,2027,
AZTA,2022-01-19,80.7,85.58,2022-02-01,-10,-14.0,8.0,93.0,-0.3499798630688683,-0.0075021522567949,89.0411,2027,2036.0
LGIH,2022-01-19,124.81,132.42,2022-03-02,-23,-19.0,14.0,88.0,-0.2185699974956173,-0.026670825859783,86.7347,2027,2056.0
DSGX,2022-01-19,67.79,72.77,2022-01-31,-39,-29.0,17.0,34.0,-0.2508564482263232,-0.0169663573085845,84.2105,2027,2035.0
WIRE,2022-01-19,116.06,122.2,2022-02-09,-16,-19.0,20.0,60.0,-0.2157048249763481,-0.0354055851063829,86.2745,2027,2042.0
SKY,2022-01-19,62.06,67.34,2022-01-31,-10,-10.0,13.0,110.0,-0.2603098927294398,-0.0422839506172838,84.6154,2027,2035.0
DECK,2022-01-19,317.5,333.38,2022-08-12,-28,-11.0,19.0,76.0,-0.2756103125712982,-0.0163883639517953,82.3529,2027,2169.0
TTEK,2022-01-19,141.92,152.85,2022-02-08,-28,-10.0,9.0,63.0,-0.2545435444899675,-0.015333379587872,87.5,2027,2041.0
EFX,2022-01-19,233.92,246.69,2023-12-14,-12,-15.0,18.0,36.0,-0.2125231442518095,-0.0280063159644311,97.2973,2027,2506.0
ALKS,2022-01-19,25.0,26.79,2022-02-16,-58,-20.0,12.0,112.0,-0.2138364779874214,-0.0087232355273592,82.3529,2027,2047.0
EVR,2022-01-19,122.55,129.4,2022-02-04,-43,-10.0,21.0,86.0,-0.2489888466723864,-0.0251372205870654,87.7551,2027,2039.0
MSCI,2022-01-19,513.4,545.4,2022-02-01,-28,-6.0,3.0,12.0,-0.2395763904317559,-0.0063674543730284,80.0,2027,2036.0
CDNS,2022-01-19,153.17,162.12,2022-03-24,-16,-23.0,10.0,20.0,-0.2007826767545004,-0.0023448186022276,100.0,2027,2072.0
FIVE,2022-01-19,168.67,177.76,2022-02-09,-38,33.0,19.0,116.0,-0.2289723898336076,-0.0146629279121394,96.0,2027,2042.0
HLIO,2022-01-19,82.39,,,-12,-27.0,9.0,76.0,-0.2784200385356455,-0.0354717864668695,83.3333,2027,
MPWR,2022-01-19,413.97,479.27,2022-02-15,-28,-16.0,1.0,15.0,-0.2812646492004792,-0.0057163444217605,90.4762,2027,2046.0
NVDA,2022-01-19,250.67,267.05,2022-02-09,-28,-20.0,3.0,22.0,-0.2489513422818792,-0.0322742539474191,85.7143,2027,2042.0
ALB,2022-01-19,219.69,236.43,2022-02-09,-35,-20.0,12.0,101.0,-0.2258985200845666,-0.0292090145824127,95.7143,2027,2042.0
TTEC,2022-01-19,78.11,82.07,2022-02-16,-48,-28.0,6.0,55.0,-0.2352653221069121,-0.0153787974284633,97.7273,2027,2047.0
NOW,2022-01-19,521.29,561.08,2022-01-28,-13,-5.0,3.0,43.0,-0.2571359354737578,-0.0020101849370143,97.1429,2027,2034.0
LSCC,2022-01-19,58.91,64.91,2022-02-16,-10,-19.0,9.0,49.0,-0.3068596305447699,-0.0277273477471531,94.2029,2027,2047.0
BIO,2022-01-19,598.44,637.21,2022-02-09,-12,-16.0,1.0,5.0,-0.2469421653999093,-0.0022674224741578,83.3333,2027,2042.0
POWI,2022-01-19,80.52,86.51,2022-02-08,-35,-11.0,2.0,26.0,-0.2606060606060607,-0.0262425928165437,88.0,2027,2041.0
AMD,2022-01-19,128.27,137.61,2023-12-12,-35,-9.0,4.0,41.0,-0.2077697486257796,-0.027741984385659,93.8144,2027,2504.0
MXL,2022-01-19,61.33,65.13,2022-02-09,-11,-10.0,11.0,95.0,-0.2042299208511742,-0.0155698234349919,97.9381,2027,2042.0
TREX,2022-01-19,99.6,,,-9,-27.0,15.0,47.0,-0.292010235996588,-0.0141542116203108,89.3939,2027,
CRL,2022-01-19,336.68,,,-53,-20.0,13.0,79.0,-0.2496211108139431,-0.0104341180965817,88.8889,2027,
ALNY,2022-01-19,138.62,148.65,2022-02-07,-11,-16.0,6.0,92.0,-0.3290091485551091,-0.0040951217759895,90.1316,2027,2040.0
ALNY,2022-01-20,138.31,145.26,2022-02-02,-12,-15.0,6.0,92.0,-0.3231047814809377,-0.0022363295339777,89.5425,2028,2037.0
MPWR,2022-01-20,404.16,433.32,2022-02-14,-17,-15.0,1.0,15.0,-0.2982967862909527,-0.0236973693745923,86.3636,2028,2045.0
NOW,2022-01-20,515.0,561.08,2022-01-28,-13,-4.0,3.0,43.0,-0.2660994969575193,-0.0120662203380075,94.4444,2028,2034.0
EFX,2022-01-20,228.65,242.22,2022-02-01,-13,-14.0,13.0,39.0,-0.2302642652752061,-0.0225290697674417,94.7368,2028,2036.0
