date_nr,Portfolio Value,Cash Value,HBAN Position 1 Value,MORN Position 1 Value,MTX Position 1 Value,NPO Position 1 Value,NSC Position 1 Value,NTRS Position 1 Value,RLJ Position 1 Value,ASB Position 1 Value,BOX Position 1 Value,VAC Position 1 Value,CFR Position 1 Value,FBP Position 1 Value,FBP Position 2 Value,PINC Position 1 Value,TGNA Position 1 Value,LBTYA Position 1 Value,WNS Position 1 Value,WNS Position 2 Value,WNS Position 3 Value,VLY Position 1 Value,AGYS Position 1 Value,FHN Position 1 Value,SUPN Position 1 Value,CHDN Position 1 Value,EXLS Position 1 Value,CWEN Position 1 Value,IRDM Position 1 Value,MTZ Position 1 Value,NEP Position 1 Value,NEP Position 2 Value,VGR Position 1 Value,CPB Position 1 Value,AES Position 1 Value,BIP Position 1 Value,ROIC Position 1 Value,NOK Position 1 Value,OLN Position 1 Value,OLN Position 2 Value,HI Position 1 Value,APPF Position 1 Value,FLEX Position 1 Value,FLEX Position 2 Value,ERF Position 1 Value,ERF Position 2 Value,FLEX Position 3 Value,HUM Position 1 Value,HAE Position 1 Value,AGI Position 1 Value,Scaled ^GSPC,Investment Value
2440,9880.360351000001,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.75,0.0,0.0,0.0,0.0,0.0,0.0,1694.160104,1694.160104,1759.3201080000001,0.0,0.0,0.0,0.0,0.0,87.090003,538.339978,1905.20004,352.72,48.740002,0.0,10.74,255.480012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11000.766552680767,10231.277011378797
2441,9890.229974000002,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1506.29997,0.0,0.0,0.0,0.0,0.0,0.0,1702.220026,1702.220026,1767.6900269999999,0.0,0.0,0.0,0.0,0.0,86.61000299999999,546.7,1926.79992,334.839996,49.18,0.0,10.69,256.32000600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11014.42545966441,10231.277011378797
2442,10065.920011,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1566.749955,0.0,0.0,0.0,0.0,0.0,0.0,1729.0,1729.0,1795.5,0.0,0.0,0.0,0.0,0.0,87.899997,553.74,1932.40004,348.760008,50.439999,0.0,10.83,260.94001199999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11107.27617451541,10231.277011378797
2443,9878.250206000002,261.60001200000175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1539.90006,0.0,0.0,0.0,0.0,0.0,0.0,1688.4400520000002,1688.4400520000002,1753.3800540000002,0.0,0.0,0.0,0.0,0.0,87.27,557.920022,1901.99996,337.559996,50.919998,0.0,10.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10972.215994053771,10231.277011378797
2444,10003.209884000004,261.60001200000175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1527.14997,0.0,0.0,0.0,0.0,0.0,0.0,1703.0,1703.0,1768.5,0.0,0.0,0.0,0.0,0.0,87.44999999999999,549.339978,2006.79992,335.440004,50.07,0.0,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10980.13011861501,10231.277011378797
2445,10118.199930000002,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1514.399985,0.0,0.0,0.0,0.0,0.0,0.0,1735.5,1735.5,1802.25,0.0,0.0,0.0,0.0,0.0,87.149997,549.78,2031.19996,333.079988,49.66,0.0,10.86,0.0,268.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10956.511741785635,10231.277011378797
2446,10193.299798000002,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1529.249955,0.0,0.0,0.0,0.0,0.0,0.0,1785.4199480000002,1785.4199480000002,1854.0899460000003,0.0,0.0,0.0,0.0,0.0,86.669997,546.920022,1948.3999600000002,328.160004,48.900002,0.0,10.77,0.0,268.640016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10853.57756270005,10231.277011378797
2447,9949.600247999999,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487.7,0.0,0.0,0.0,0.0,0.0,0.0,1751.620078,1751.620078,1818.990081,0.0,0.0,0.0,0.0,0.0,84.44999999999999,526.900022,1893.6000000000001,312.519988,47.860001,0.0,10.8,0.0,262.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10675.568753067853,10231.277011378797
2448,9981.340071000002,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.55,0.0,0.0,0.0,0.0,0.0,0.0,1757.8600259999998,1757.8600259999998,1825.4700269999998,0.0,0.0,0.0,0.0,0.0,84.03,522.0600000000001,1933.6000000000001,306.399992,48.84,0.0,10.65,0.0,255.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10651.061934696738,10231.277011378797
2449,10016.810234000004,0.6600000000017712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.84994,0.0,0.0,0.0,0.0,0.0,0.0,1788.8000780000002,1788.8000780000002,1857.600081,0.0,0.0,0.0,0.0,0.0,85.5,525.579978,1893.20008,294.0,48.439999,0.0,10.54,0.0,259.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10693.911848140433,10231.277011378797
