Ticker,m20tmrw,Close,63d %,daily delta,previous daily delta,63d peak,chance,Earnings Offset Closest,Overall Record,average_duration,total_days_below_threshold
AVAV,145.8,150.76,-0.1727846364883402,-0.0090054558601196,0.021623799610503,182.25,0,16,113 - 16 (87.60%),13.0,95.0
AVA,29.224000000000004,33.7,-0.0774705721324937,-0.0011855364552459,0.002079002079002,36.53,0,24,25 - 15 (62.50%),14.0,29.0
AWK,106.89600000000002,117.84,-0.1180960933991916,0.0059757555062318,-0.0051804670912951,133.62,0,-20,17 - 0 (100.00%),4.0,30.0
AVNT,33.88,41.79,-0.0132231404958678,-0.0019106759016001,0.0123307543520307,42.35,0,-25,56 - 19 (74.67%),16.0,146.0
AVY,175.52800000000002,219.41,0.0035676714083154,0.0096636141917076,0.0080248631598478,219.41,0,-20,33 - 1 (97.06%),56.0,226.0
AWI,99.80000000000001,123.39,-0.0109018036072143,-0.0001620614212786,-0.0093120333948784,124.75,0,-19,37 - 3 (92.50%),53.0,477.0
AXS,51.216,63.81,-0.0032802249297093,0.0009411764705882,0.0138358778625953,64.02,0,-20,11 - 2 (84.62%),0.0,0.0
AVB,151.68,180.67,-0.0470991561181435,-0.0073622328443492,-0.0063329147786209,189.6,0,-20,38 - 4 (90.48%),17.0,120.0
AWR,65.416,70.16,-0.1419836125718478,-0.0041163946061036,-0.009559960635456,81.77,0,24,6 - 0 (100.00%),0.0,0.0
AX,45.504000000000005,52.0,-0.0857946554149086,-0.0063061341486718,0.0015311004784688,56.88,0,-21,107 - 12 (89.92%),84.0,847.0
AXON,255.904,319.14,-0.0023133675128172,0.0116334358259104,-0.0026871522508851,319.88,0,20,89 - 5 (94.68%),31.0,95.0
AXSM,78.11200000000001,76.72,-0.2142564522736583,-0.0081447963800904,-0.04103644929333,97.64,0,25,224 - 24 (90.32%),11.0,233.0
AZN,55.656,66.33,-0.0465717981888744,0.007136349832979,-0.0060368246302445,69.57,0,-21,13 - 0 (100.00%),3.0,6.0
AXP,183.29600000000002,224.46,-0.0203386871508379,-0.0069459806220413,0.0003097893432466,229.12,0,-17,28 - 1 (96.55%),2.0,8.0
AY,17.368000000000002,18.24,-0.1598341777982497,0.0,0.0038525041276828,21.71,0,17,44 - 2 (95.65%),16.0,118.0
AZTA,54.00800000000001,58.39,-0.1350910976151681,0.0098581805603596,-0.0251222390827854,67.51,0,33,120 - 16 (88.24%),19.0,216.0
AXTA,27.400000000000002,33.46,-0.0230656934306568,0.0008973975471133,-0.0008965929468022,34.25,0,-29,36 - 3 (92.31%),75.0,602.0
B,30.32,36.27,-0.0430079155672822,-0.0122549019607841,0.0046511627906977,37.9,0,-22,46 - 14 (76.67%),13.0,93.0
AZO,2591.45608,3191.48,-0.014768562081901,0.0065156329745734,-0.021146412791993,3239.3201,0,20,18 - 2 (90.00%),0.0,0.0
AZPN,177.45600000000002,201.84,-0.0900730321882606,0.0002477823479856,0.0051805728518057,221.82,0,-20,55 - 2 (96.49%),21.0,129.0
BANF,80.048,85.23,-0.1482110733559863,-0.007453126819611,0.0008158508158508,100.06,0,-19,40 - 1 (97.56%),5.0,34.0
AYI,215.4,267.84,-0.0052367688022284,0.0061229856128619,-0.0064195872056135,269.25,0,-5,93 - 14 (86.92%),11.0,58.0
BA,210.23200000000003,187.5,-0.2865025305376917,-0.0204273548926388,0.0135557320624835,262.79,0,-20,74 - 23 (76.29%),16.0,163.0
BAH,119.352,147.18,-0.0134727528654734,0.007185382878259,-0.0100264209741888,149.19,0,41,7 - 0 (100.00%),0.0,0.0
BAC,30.008,37.09,-0.0111970141295653,0.0062398263700489,-0.0051282051282051,37.51,0,-14,58 - 10 (85.29%),14.0,142.0
BAK,8.648000000000001,10.39,-0.0388529139685476,0.0019286403085825,-0.0407030527289548,10.81,0,5,165 - 57 (74.32%),26.0,396.0
BABA,62.584,71.48,-0.0862840342579572,0.0002798768541842,-0.0092887841397476,78.23,0,33,130 - 21 (86.09%),17.0,259.0
BAP,142.136,169.5,-0.0459841278775257,-0.0058067921872251,-0.0185931383836057,177.67,0,-27,67 - 14 (82.72%),11.0,101.0
